# distance # point rotate # width  # height # angle # rotation # R # G # B # A # src blend # dst blend # texture name
    1.0           0.0       350.0     50.0     0.0       -       64  64  64 200      2           2       Line
    1.0001        0.0       150.0    150.0     0.0      out     255 255 255 200      2           2       Sun
    0.9           0.0       130.0    130.0     0.0       in      80  80  80 200      2           2       Chroma1
    0.9           0.0       190.0    190.0     0.0       in      80  80  80 200      2           2       Chroma2
    0.6           0.0        20.0     20.0     0.0       in      40  25   0 200      2           2       Orb1
    0.58          0.0        50.0     50.0     0.0       in      25  30   0 200      2           2       Pentagon1
    0.54          0.0        70.0     70.0     0.0       in      30  20   0 200      2           2       Pentagon4
    0.48          0.0         8.0      8.0     0.0       in      40   5   0 200      2           2       Orb1
    0.44          0.0         4.0      4.0     0.0       in      40  10   0 200      2           2       Orb2
    0.38          0.0        15.0     15.0     0.0       in      10  20  40 200      2           2       Pentagon3 
    0.34          0.0        40.0     40.0     0.0       in      40  20   0 200      2           2       Pentagon2
    0.32          0.0        20.0     20.0     0.0       in      40  30   0 200      2           2       Pentagon1
    0.28          0.0        30.0     30.0     0.0       in      40  15   0 200      2           2       Pentagon4
    0.26          0.0        15.0     15.0     0.0       in       5  20  40 200      2           2       Pentagon3
    0.22          0.0        35.0     35.0     0.0       in      40  10   0 200      2           2       Pentagon2
    0.20          0.0        14.0     14.0     0.0       in      40  25   0 200      2           2       Pentagon1
    0.16          0.0        25.0     25.0     0.0       in      40  20   5 200      2           2       Pentagon2
    0.12          0.0        30.0     30.0     0.0       in      40  25  10 200      2           2       Pentagon3
    0.10          0.0         8.0      8.0     0.0       in      40  10   0 200      2           2       Orb2
    0.0           0.0        35.0     35.0     0.0       in      10  25  40 200      2           2       Pentagon4
   -0.2           0.0        50.0     50.0     0.0       in      40  30   0 200      2           2       Pentagon4
   -0.4           0.0        25.0     25.0     0.0       in      25  40   0 200      2           2       Pentagon1
   -0.6           0.0        30.0     30.0     0.0       in      20  40   0 200      2           2       Pentagon2
   -0.8           0.0        35.0     35.0     0.0       in      15  40   0 200      2           2       Pentagon3
   -1.0           0.0        40.0     40.0     0.0       in      10  40   0 200      2           2       Pentagon4
   -1.2           0.0       150.0    150.0     0.0       -       40   5   0 200      2           2       Sphere
#  float         float       float    float 0.0-360.0  in/out        0-255            blend values            name



